business_name,category,phone,email,website,state,city,suburb,postcode,lead_score,tier,first_seen_at
ANDREW MCREYNOLDS PLUMBING PTY LTD,plumbing,,,,ACT,Canberra,,2602,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ANEKA KITCHENS & JOINERY,kitchen,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ANITA CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2601,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ANTALIJA CONSTRUCTIONS PTY LTD,builder,,,,ACT,Canberra,,2612,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
APG ROOFING,plumbing,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
ARCHIBUILD CONSTRUCTIONS GROUP PTY LTD,builder,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ARK CONSTRUCTION,builder,,,,ACT,Canberra,,2607,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ARMIN ELECTRICAL PTY LTD,electrician,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AROUND TOWN PLUMBING SERVICES,plumbing,,,,ACT,Canberra,,2902,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ASCEND FITOUT AND JOINERY PTY LTD,kitchen,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ASN PRASHAR ELECTRICALS PTY LTD,electrician,,,,ACT,Canberra,,2611,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ASPECT LANDSCAPE CONSTRUCTION PTY LTD,builder,,,,ACT,Canberra,,2906,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
ASSET CONSTRUCTION HIRE PTY LTD,builder,,,,ACT,Canberra,,2609,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ASSISTED ELECTRICAL SERVICES PTY LTD,electrician,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ASTOR PAINTERS,painter,,,,ACT,Canberra,,2614,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
ATM ELECTRICAL CONTRACTORS PTY LTD,electrician,,,,ACT,Canberra,,2602,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
ATTENTION 2 DETAIL BATHROOMS & WATERPROOFING PTY LIMITED,roofer,,,,ACT,Canberra,,2906,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AU CONSTRUCTION PROJECT PTY LTD,builder,,,,ACT,Canberra,,2914,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AUSSIE BUILDERS GROUP PTY LTD,builder,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AUSSIE CRAFT JOINERY PTY LTD,kitchen,,,,ACT,Canberra,,2611,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AUSSIE SOLAR POWER PTY LTD,solar,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AUSSIE SOLAR TECH,solar,,,,ACT,Canberra,,2911,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AUSTAR SOLAR ACT,solar,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AUSTRALASIAN PROCUREMENT AND CONSTRUCTION COUNCIL INCORPORATED,builder,,,,ACT,Canberra,,2600,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AVC METAL ROOFING AND CLADDING,roofer,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AVENUE PLUMBING (ACT & NSW) PTY LTD,plumbing,,,,ACT,Canberra,,2611,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AWARD ELECTRICAL ACT PTY LTD,electrician,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
AXEMAN ELECTRICAL,electrician,,,,ACT,Canberra,,2618,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
Absolute Outdoor Constructions Pty Ltd,builder,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
Absolute Private Plumbing Certifiers Pty Limited,plumbing,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
Achieve Plumbing Pty Ltd,plumbing,,,,ACT,Canberra,,2604,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
Allgood Roofing Pty Ltd,roofer,,,,ACT,Canberra,,2617,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
Altre Electrical services,electrician,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
Anasson Painting & Maintenance Pty Ltd,painter,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
Aolong Painting,painter,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
Arcworks Electrical,electrician,,,,ACT,Canberra,,2611,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
Austin Electrical Pty Ltd,electrician,,,,ACT,Canberra,,2609,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
Australian FPV Association,solar,,,,ACT,Canberra,,2902,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
Axis Civil and Drainage,plumbing,,,,ACT,Canberra,,2602,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
B & Z ROOFING SOLUTIONS PTY LTD,roofer,,,,ACT,Canberra,,2904,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
B.T.E CARPENTRY & CONSTRUCTION PTY LTD,builder,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
BACKHOUSE CONSTRUCTION,builder,,,,ACT,Canberra,,2905,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BAILEY-PRICE CONSTRUCTION,builder,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BANOTT CONSTRUCTIONS,builder,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BARNALA BUILDING AND CONSTRUCTION PTY LTD,builder,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BELL AIR CONDITIONING PTY. LIMITED,air conditioning,,,,ACT,Canberra,,2609,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BELMONT PAINTERS,painter,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BENS BLOCKED DRAINS CANBERRA,plumbing,,,,ACT,Canberra,,2902,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BERRA CONSTRUCTION PRODUCTS ACT PTY LTD,builder,,,,ACT,Canberra,,2609,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BERRYGOOD PLUMBING PTY LTD,plumbing,,,,ACT,Canberra,,2913,55,MEDIUM,2026-05-04 15:07:06.688648+00:00
BHMD RENOVATIONS,builder,,,,ACT,Canberra,,2615,55,MEDIUM,2026-05-04 16:46:06.788557+00:00
